# time_start: 2026-05-10 13:09:40
# time_stop:  2026-05-10 13:09:47
CH 0, CH 8, CH 9
-42, -529, 86011
-41, -382, 85989
-33, -654, 86008
162, -602, 86069
54, -530, 86034
51, -338, 86068
26, -624, 86037
23, -496, 86008
6, -422, 86008
22, -429, 86045
39, -343, 86058
39, -379, 86001
31, -466, 86014
38, -558, 86027
32, -584, 85997
16, -506, 86024
26, -492, 86008
47, -619, 86004
26, -438, 86002
23, -497, 86041
37, -475, 86013
30, -394, 86001
16, -399, 86030
30, -564, 86013
41, -462, 85988
38, -558, 86038
38, -612, 86013
27, -518, 86017
16, -600, 86039
11, -479, 86032
34, -364, 86004
32, -322, 85987
41, -519, 86029
41, -621, 86020
30, -474, 86020
21, -359, 86020
14, -500, 86034
32, -638, 86058
41, -585, 86060
43, -389, 86074
39, -412, 86088
24, -485, 86029
17, -407, 85979
18, -525, 86013
25, -454, 86053
32, -734, 86018
35, -525, 86056
34, -538, 86050
36, -458, 86009
35, -485, 86007
17, -482, 86030
13, -591, 86068
31, -620, 86047
37, -583, 86052
50, -547, 86002
35, -691, 86018
26, -535, 86009
17, -355, 86036
19, -535, 86048
14, -633, 86047
31, -508, 85992
37, -514, 86042
38, -649, 85991
39, -652, 85976
19, -592, 86010
18, -636, 85997
11, -570, 86058
28, -378, 85975
42, -724, 86047
34, -623, 86037
40, -600, 85988
29, -475, 86008
5, -450, 86026
22, -541, 86015
39, -553, 86066
41, -454, 86007
38, -583, 86054
24, -583, 86044
23, -276, 86007
22, -647, 86053
13, -419, 86052
34, -472, 86040
36, -414, 85995
38, -467, 85986
49, -406, 86052
41, -464, 85993
20, -593, 86045
12, -677, 86012
20, -581, 86037
10, -684, 85992
25, -495, 86002
47, -724, 85999
39, -591, 86006
43, -282, 86015
30, -522, 86055
16, -479, 86024
17, -355, 86073
15, -352, 86065
21, -496, 86025
38, -426, 86056
39, -592, 86030
44, -560, 86045
25, -714, 86042
11, -421, 86046
15, -418, 86036
28, -470, 86034
33, -518, 86021
41, -609, 86062
41, -715, 86029
30, -580, 86013
15, -564, 86065
14, -233, 85993
24, -566, 86014
36, -735, 86011
51, -587, 86057
34, -462, 86045
20, -382, 86017
21, -846, 85973
22, -236, 86025
36, -536, 85985
37, -496, 86033
32, -449, 86056
23, -447, 86065
15, -410, 86015
24, -534, 86029
31, -717, 86046
44, -259, 86015
32, -493, 86053
27, -517, 85992
19, -743, 86031
20, -558, 86034
17, -475, 86040
36, -414, 86019
42, -479, 86001
36, -577, 86047
28, -645, 86005
26, -594, 86038
19, -508, 86013
27, -516, 85994
22, -453, 86085
29, -596, 86032
44, -446, 85985
28, -646, 86019
29, -406, 86041
26, -589, 86006
30, -462, 86056
25, -469, 86089
27, -367, 86001
28, -603, 86042
32, -608, 86068
28, -330, 86030
27, -593, 86039
31, -295, 86001
30, -558, 86028
22, -641, 86010
27, -374, 86070
26, -580, 86027
26, -276, 86007
26, -520, 86052
33, -671, 86057
38, -456, 86103
28, -421, 86018
29, -538, 86037
24, -737, 86035
34, -653, 86022
32, -480, 85980
37, -457, 86007
30, -321, 86056
25, -631, 86065
20, -433, 86055
18, -281, 86037
22, -671, 86021
30, -445, 86026
49, -281, 86069
33, -464, 86076
32, -563, 85984
30, -493, 86060
20, -458, 86005
26, -486, 86015
21, -455, 86038
18, -576, 86004
32, -744, 86016
46, -440, 86016
37, -594, 86045
28, -569, 86036
23, -428, 86048
17, -412, 86065
27, -456, 86034
42, -464, 86017
31, -632, 86005
29, -518, 86048
31, -412, 86039
26, -263, 86013
30, -462, 86018
29, -403, 86043
32, -691, 85983
28, -555, 86107
23, -471, 86032
23, -448, 86009
33, -364, 86019
34, -451, 86067
21, -518, 86059
16, -566, 86068
25, -430, 86024
22, -611, 86044
30, -397, 86012
30, -406, 86015
36, -379, 86084
23, -443, 85996
25, -633, 86059
25, -438, 86011
28, -403, 86075
30, -538, 86075
26, -463, 86029
27, -321, 86079
28, -477, 86054
26, -367, 86032
27, -584, 86100
25, -650, 86022
24, -428, 86045
19, -559, 86000
20, -553, 86006
38, -519, 86008
36, -420, 86034
28, -537, 86028
24, -438, 86001
37, -484, 86012
28, -514, 86036
30, -504, 85995
26, -572, 86038
30, -466, 86019
33, -558, 86054
31, -298, 86029
23, -359, 86052
18, -614, 86016
21, -647, 86007
15, -569, 86041
42, -538, 86005
36, -650, 86033
33, -650, 86039
26, -311, 86029
21, -267, 86046
22, -492, 86032
26, -593, 86020
30, -373, 86063
22, -388, 86053
33, -370, 86014
22, -211, 86061
25, -430, 86007
28, -452, 86006
26, -540, 86032
31, -468, 86066
26, -524, 86033
25, -548, 85975
26, -543, 86045
24, -296, 85989
32, -518, 86069
35, -291, 86033
27, -377, 86007
40, -422, 86009
27, -520, 86051
36, -491, 85983
33, -664, 86060
38, -597, 86031
28, -543, 86050
30, -311, 86041
30, -336, 85983
23, -484, 86015
29, -472, 86062
26, -404, 86044
28, -411, 86024
32, -562, 86032
33, -522, 86035
32, -486, 86035
33, -556, 86019
32, -474, 86030
33, -472, 86023
27, -452, 86041
29, -690, 86040
24, -474, 85994
22, -411, 86006
24, -388, 86038
26, -462, 86035
25, -676, 86023
26, -513, 86021
28, -392, 86041
22, -506, 86005
25, -675, 85997
28, -422, 86032
24, -556, 86070
33, -516, 86027
22, -564, 86032
22, -407, 86059
21, -450, 86075
21, -676, 86016
30, -382, 86089
38, -512, 86027
28, -197, 86051
22, -388, 86003
32, -342, 86099
23, -325, 86041
22, -397, 86040
23, -125, 86024
31, -591, 86052
27, -585, 86071
26, -587, 86038
21, -623, 85980
21, -553, 86055
21, -353, 86048
27, -325, 85980
20, -372, 86062
30, -336, 86058
17, -382, 86005
24, -481, 86024
23, -695, 86052
19, -651, 86015
23, -432, 86019
24, -524, 86035
17, -474, 86054
20, -447, 86030
36, -368, 86029
26, -278, 86024
25, -379, 86036
27, -457, 86066
22, -446, 86027
25, -743, 86082
27, -564, 86037
17, -364, 86056
20, -560, 86086
24, -439, 86047
26, -517, 86042
22, -620, 85996
30, -660, 86034
33, -360, 86085
26, -243, 86014
19, -334, 86008
20, -514, 85997
17, -587, 86036
22, -581, 86038
25, -483, 86001
40, -644, 86032
35, -540, 86032
20, -396, 85982
26, -476, 86029
22, -547, 86072
28, -739, 86055
35, -775, 86050
24, -432, 86023
25, -631, 86064
19, -300, 86019
23, -381, 86033
18, -438, 86026
27, -509, 86001
33, -356, 86033
23, -519, 86025
26, -675, 86028
24, -502, 86044
27, -546, 86004
24, -494, 85987
16, -329, 86012
17, -500, 85993
21, -627, 86058
40, -682, 86086
38, -386, 86024
22, -446, 86038
16, -506, 86014
34, -578, 86036
34, -521, 86030
16, -220, 86017
19, -442, 86052
26, -377, 86007
18, -484, 86033
26, -722, 86045
30, -534, 86050
40, -472, 86037
20, -593, 86014
30, -494, 86036
22, -396, 86025
23, -739, 86036
23, -351, 85995
25, -369, 86020
16, -444, 86017
19, -459, 86007
26, -369, 86049
19, -442, 86047
28, -360, 86036
36, -350, 86044
18, -526, 86026
29, -458, 86078
24, -410, 86019
29, -374, 86037
32, -574, 86001
24, -573, 86040
17, -390, 86020
19, -526, 86067
24, -316, 86064
32, -410, 86044
26, -578, 86032
31, -343, 86032
26, -591, 86093
27, -493, 86060
22, -494, 86004
30, -479, 86004
19, -242, 86022
18, -512, 86036
20, -149, 86009
29, -528, 86011
17, -536, 86041
37, -357, 86061
36, -461, 86025
23, -282, 86027
30, -435, 86040
27, -240, 86034
22, -306, 86001
13, -453, 86043
23, -451, 86089
22, -511, 85976
22, -419, 86040
36, -446, 86020
39, -443, 86016
22, -304, 86088
27, -468, 86027
20, -433, 86061
23, -450, 86054
21, -328, 86012
24, -275, 86010
17, -447, 86078
38, -347, 86027
27, -346, 85958
30, -604, 85995
27, -465, 86032
26, -375, 86056
23, -287, 86011
22, -230, 86068
18, -453, 85950
34, -532, 86041
17, -213, 86035
24, -600, 86007
23, -787, 85978
19, -532, 86020
18, -464, 86018
27, -484, 86039
33, -474, 86032
28, -462, 86038
25, -470, 86043
20, -514, 86002
22, -145, 86059
32, -404, 86022
31, -557, 86009
31, -473, 86039
12, -191, 86030
17, -432, 86037
21, -642, 86008
24, -538, 85983
38, -618, 86080
39, -674, 86009
20, -470, 85995
20, -388, 86062
29, -525, 85974
21, -495, 86029
24, -563, 86052
21, -564, 86034
33, -443, 86049
22, -526, 86043
32, -652, 85996
21, -521, 86016
19, -368, 85978
17, -355, 86022
29, -418, 86068
22, -460, 86021
26, -356, 85982
23, -605, 85999
22, -499, 86055
23, -478, 86067
22, -530, 86026
24, -424, 86084
26, -673, 86014
23, -319, 86003
24, -414, 85991
30, -515, 86022
24, -553, 86020
31, -377, 86052
24, -331, 86060
19, -420, 86054
22, -360, 86055
19, -372, 86042
27, -456, 86003
19, -425, 86038
30, -280, 86019
37, -461, 86063
20, -504, 86031
18, -544, 86035
18, -375, 86001
21, -337, 86028
24, -601, 86049
33, -305, 86094
35, -517, 86012
22, -319, 86038
23, -381, 86009
33, -495, 86013
30, -505, 86058
18, -274, 86022
22, -455, 86059
25, -426, 86061
19, -341, 86043
28, -524, 86029
32, -179, 86029
19, -519, 86034
21, -576, 86063
20, -341, 86057
18, -623, 86029
28, -306, 86024
45, -302, 85993
28, -358, 86019
11, -401, 86002
17, -228, 86009
24, -587, 86048
24, -548, 85997
36, -464, 86022
26, -376, 86042
21, -445, 86038
27, -405, 86074
22, -349, 85999
22, -484, 86029
31, -368, 86031
18, -345, 86032
15, -406, 86040
36, -518, 86032
35, -538, 86009
20, -460, 86052
27, -544, 86045
23, -425, 86044
36, -490, 86050
33, -427, 86044
15, -582, 86018
19, -388, 86048
27, -192, 86056
24, -295, 86047
22, -484, 86026
31, -580, 85997
35, -438, 86067
18, -420, 86060
17, -646, 86018
13, -466, 86041
25, -405, 86004
27, -467, 85994
53, -555, 86025
34, -488, 86057
24, -201, 86040
20, -398, 86037
24, -344, 86062
15, -577, 85980
18, -354, 86046
29, -467, 86048
42, -435, 86010
24, -359, 86040
20, -374, 86028
31, -290, 86017
15, -482, 86010
18, -581, 86001
10, -277, 86008
25, -207, 86049
38, -546, 86005
38, -393, 85981
40, -558, 86011
18, -390, 86008
21, -512, 85994
17, -565, 86031
27, -378, 85997
32, -451, 85996
20, -343, 86048
18, -392, 86060
20, -595, 86020
23, -326, 86042
23, -203, 86008
36, -424, 86021
30, -426, 86017
28, -224, 86006
29, -438, 86033
22, -438, 86016
18, -384, 86027
20, -237, 86012
21, -307, 86044
27, -435, 86003
30, -504, 86026
42, -475, 86043
26, -395, 86027
23, -449, 86035
22, -461, 86048
27, -389, 86029
20, -397, 86064
21, -560, 86063
23, -330, 86016
18, -434, 86076
21, -338, 86028
36, -389, 86048
29, -146, 86063
24, -363, 86000
20, -294, 86056
22, -422, 86042
31, -369, 86039
30, -398, 86025
23, -616, 86013
19, -493, 86031
18, -387, 86026
25, -362, 86033
21, -375, 86070
33, -356, 85992
31, -589, 86072
20, -438, 86045
16, -651, 85996
18, -426, 86000
28, -216, 85988
27, -509, 86047
37, -417, 86080
40, -326, 85989
19, -441, 86048
33, -443, 85999
20, -524, 86054
21, -241, 86072
23, -411, 86000
29, -295, 86029
25, -480, 86068
12, -279, 86015
12, -258, 86092
30, -517, 86007
47, -575, 86032
31, -386, 86031
17, -348, 86032
23, -450, 86036
19, -424, 86061
29, -287, 86057
25, -456, 85998
20, -342, 86066
22, -507, 86014
20, -460, 86016
23, -444, 86093
31, -294, 86031
32, -259, 86014
28, -255, 85984
24, -186, 86008
31, -324, 85978
29, -617, 86010
18, -459, 86032
16, -506, 86063
19, -517, 86040
26, -539, 86026
29, -442, 85999
45, -373, 86029
31, -398, 86044
29, -357, 85991
26, -520, 86012
19, -148, 86003
21, -461, 86012
13, -481, 86015
31, -307, 86014
26, -508, 85984
27, -438, 86016
32, -384, 86039
26, -396, 86001
19, -504, 86020
27, -375, 86030
28, -297, 86006
25, -323, 86043
21, -312, 86022
26, -420, 85978
14, -509, 86024
21, -142, 85986
40, -278, 86025
32, -434, 86037
20, -484, 86055
25, -425, 86008
22, -228, 86002
20, -404, 85986
22, -250, 86045
32, -357, 86025
30, -407, 86081
27, -478, 86021
25, -403, 86016
30, -412, 85983
19, -240, 85986
22, -340, 86004
22, -666, 86049
24, -405, 86025
24, -323, 86068
26, -505, 85996
23, -399, 86020
27, -517, 85972
13, -540, 86025
27, -357, 86021
13, -209, 86027
38, -301, 86058
34, -543, 85997
32, -492, 86055
25, -641, 86039
16, -333, 86002
24, -354, 86062
29, -262, 85989
28, -516, 86009
14, -379, 86016
24, -590, 86055
31, -431, 86050
24, -274, 86044
21, -423, 86016
15, -359, 86032
15, -363, 85957
28, -318, 86061
39, -425, 85988
28, -436, 86016
22, -499, 86016
31, -449, 86041
21, -251, 86020
16, -607, 86014
19, -400, 86053
29, -69, 86029
35, -757, 86044
11, -491, 86004
32, -483, 86025
39, -668, 86006
19, -453, 85993
12, -625, 86033
24, -401, 85989
17, -559, 86029
36, -407, 86035
37, -361, 86052
35, -400, 86036
18, -436, 86053
16, -490, 86070
17, -418, 85993
22, -316, 86019
29, -306, 86038
37, -416, 86053
33, -605, 86041
30, -265, 86037
12, -352, 85993
22, -420, 86024
17, -416, 86040
25, -379, 86036
35, -380, 86026
39, -483, 86056
42, -396, 86021
33, -493, 86017
26, -440, 86050
25, -474, 86048
14, -297, 86048
20, -618, 86057
20, -344, 86042
31, -144, 85980
44, -494, 86018
35, -350, 86038
20, -299, 86041
23, -357, 85986
26, -441, 86031
19, -291, 86040
20, -544, 86020
33, -405, 85982
34, -422, 86049
21, -314, 86021
21, -239, 86070
23, -237, 86033
24, -456, 86051
24, -365, 86010
19, -563, 86037
17, -561, 86049
25, -499, 86040
39, -681, 86006
31, -405, 86045
18, -495, 85997
11, -192, 86045
33, -418, 85994
43, -403, 86012
42, -197, 85996
35, -237, 86075
27, -336, 86006
19, -314, 86067
22, -518, 86003
22, -358, 86053
19, -538, 85980
27, -512, 86017
40, -329, 86004
33, -309, 86013
18, -371, 86055
32, -328, 86012
19, -358, 86036
18, -283, 86023
24, -315, 86090
27, -300, 85989
27, -369, 85984
16, -220, 86038
23, -291, 85997
29, -443, 86071
17, -393, 85985
21, -453, 86057
32, -315, 86014
28, -538, 86018
19, -491, 86043
28, -330, 85976
17, -216, 86066
25, -186, 85991
25, -339, 86026
27, -492, 86015
22, -425, 86030
21, -526, 86020
18, -326, 86035
28, -383, 86037
19, -594, 86050
36, -545, 86046
30, -335, 85992
23, -619, 86049
21, -479, 85994
26, -342, 86029
23, -414, 86016
19, -543, 85988
36, -313, 86030
38, -243, 86019
22, -398, 85978
18, -326, 86007
20, -507, 86034
18, -540, 86052
19, -473, 86017
27, -218, 86031
40, -385, 85997
32, -350, 86050
8, -224, 86025
22, -350, 86008
24, -281, 86039
21, -329, 86020
32, -376, 86062
41, -241, 86041
35, -283, 86011
19, -267, 85959
13, -408, 86011
15, -476, 86088
9, -277, 85981
28, -194, 85999
46, -654, 85972
47, -458, 86047
33, -367, 85979
26, -489, 86027
23, -259, 85963
23, -334, 86055
25, -286, 86070
12, -235, 86037
30, -416, 85975
38, -262, 86030
20, -405, 86059
18, -435, 85987
21, -132, 86009
